,nuclei_fA/diploid_fA_lower/diploid_fA_upper- | Count,nuclei_fA/tetraploid_fA | Count,line,rep,salt,week,plate
E4.fcs,831,509,C,4,1,11,1
C6.fcs,2775,5779,C,6,1,11,2
C7.fcs,9100,512,D,1,1,11,2
C8.fcs,6929,1942,D,2,1,11,2
C9.fcs,7866,969,D,3,1,11,2
C10.fcs,7639,1325,D,4,1,11,2
C11.fcs,6483,2277,D,5,1,11,2
C12.fcs,7506,1463,D,6,1,11,2
B1.fcs,2002,4951,A,1,0,12,1
B2.fcs,2519,5136,A,2,0,12,1
B3.fcs,3013,4379,A,3,0,12,1
B4.fcs,1589,4340,A,4,0,12,1
B5.fcs,4537,3452,A,5,0,12,1
B6.fcs,1736,5543,A,6,0,12,1
B7.fcs,3868,3973,B,1,0,12,1
B8.fcs,5663,3206,B,2,0,12,1
D1.fcs,3398,4970,B,3,0,12,2
B10.fcs,2067,5640,B,4,0,12,1
B11.fcs,3913,4346,B,5,0,12,1
B12.fcs,2538,5672,B,6,0,12,1
C1.fcs,4374,4606,C,1,0,12,1
C2.fcs,1571,6702,C,2,0,12,1
C3.fcs,2268,4953,C,3,0,12,1
C4.fcs,2824,5435,C,4,0,12,1
C5.fcs,5195,3521,C,5,0,12,1
C6.fcs,419,7697,C,6,0,12,1
C7.fcs,8490,672,D,1,0,12,1
C8.fcs,8521,696,D,2,0,12,1
C9.fcs,8489,775,D,3,0,12,1
C10.fcs,7701,1576,D,4,0,12,1
C11.fcs,8203,1223,D,5,0,12,1
C12.fcs,8724,623,D,6,0,12,1
B1.fcs,243,4309,A,1,1,12,2
B2.fcs,826,5105,A,2,1,12,2
B3.fcs,977,3660,A,3,1,12,2
B4.fcs,1256,3260,A,4,1,12,2
B5.fcs,912,4096,A,5,1,12,2
B6.fcs,438,6687,A,6,1,12,2
B7.fcs,3919,1661,B,1,1,12,2
B8.fcs,1359,6462,B,2,1,12,2
B9.fcs,3179,1885,B,3,1,12,2
B10.fcs,3331,4726,B,4,1,12,2
B11.fcs,5952,2688,B,5,1,12,2
B12.fcs,6539,2136,B,6,1,12,2
C1.fcs,2275,5563,C,1,1,12,2
C2.fcs,5125,3383,C,2,1,12,2
C3.fcs,5557,2664,C,3,1,12,2
C4.fcs,4249,4144,C,4,1,12,2
C5.fcs,1291,6514,C,5,1,12,2
C6.fcs,4821,3452,C,6,1,12,2
C7.fcs,8105,480,D,1,1,12,2
C8.fcs,8284,733,D,2,1,12,2
C9.fcs,6692,1893,D,3,1,12,2
