,diploids,tetraploids,plate,line,rep,salt,iter,week,pop,plate
E6.fcs,8226,2024,1,D,3,0,2,3,D30,1
E7.fcs,9510,1125,1,D,4,0,1,3,D40,1
E8.fcs,9739,1104,1,D,4,0,2,3,D40,1
E9.fcs,9389,728,1,D,5,0,1,3,D50,1
E10.fcs,10136,1070,1,D,5,0,2,3,D50,1
B3.fcs,8689,738,1,D,6,0,1,3,D60,3
E12.fcs,6096,1056,1,D,6,0,2,3,D60,1
B1.fcs,7366,290,2,A,1,1,1,3,A11,2
B2.fcs,7251,619,2,A,1,1,2,3,A11,2
B3.fcs,7860,808,2,A,2,1,1,3,A21,2
B4.fcs,8846,317,2,A,2,1,2,3,A21,2
B5.fcs,7073,1170,2,A,3,1,1,3,A31,2
B6.fcs,6615,2022,2,A,3,1,2,3,A31,2
B7.fcs,6142,2553,2,A,4,1,1,3,A41,2
B8.fcs,6431,2386,2,A,4,1,2,3,A41,2
B9.fcs,6825,1528,2,A,5,1,1,3,A51,2
B10.fcs,8392,761,2,A,5,1,2,3,A51,2
B11.fcs,7768,1130,2,A,6,1,1,3,A61,2
B12.fcs,8668,244,2,A,6,1,2,3,A61,2
C1.fcs,8323,1122,2,B,1,1,1,3,B11,2
C2.fcs,9510,304,2,B,1,1,2,3,B11,2
C3.fcs,8546,269,2,B,2,1,1,3,B21,2
C4.fcs,9527,317,2,B,2,1,2,3,B21,2
C5.fcs,8020,264,2,B,3,1,1,3,B31,2
C6.fcs,9417,223,2,B,3,1,2,3,B31,2
C7.fcs,9151,306,2,B,4,1,1,3,B41,2
C8.fcs,8430,241,2,B,4,1,2,3,B41,2
C9.fcs,10100,300,2,B,5,1,1,3,B51,2
C10.fcs,8255,1595,2,B,5,1,2,3,B51,2
D1.fcs,9378,281,2,C,1,1,1,3,C11,2
D2.fcs,7143,1266,2,C,1,1,2,3,C11,2
D3.fcs,7102,1202,2,C,2,1,1,3,C21,2
B4.fcs,3349,1129,2,C,2,1,2,3,C21,3
D5.fcs,8868,932,2,C,3,1,1,3,C31,2
D7.fcs,4887,787,2,C,4,1,1,3,C41,2
D9.fcs,9321,264,2,C,5,1,1,3,C51,2
D10.fcs,8416,1389,2,C,5,1,2,3,C51,2
D11.fcs,8377,1242,2,C,6,1,1,3,C61,2
D12.fcs,9099,265,2,C,6,1,2,3,C61,2
E2.fcs,8705,388,2,D,1,1,2,3,D11,2
E3.fcs,5857,202,2,D,2,1,1,3,D21,2
E4.fcs,9054,243,2,D,2,1,2,3,D21,2
E5.fcs,10270,202,2,D,3,1,1,3,D31,2
E6.fcs,8909,1713,2,D,3,1,2,3,D31,2
E7.fcs,8382,775,2,D,4,1,1,3,D41,2
